Name,Tag,Logo,Ranks,Ratings,Country
FNATIC,#AFP,https://owcdn.net/img/62a40cc2b5e29.png,1,2000,Europe
BBL Esports,#Y1L2,https://owcdn.net/img/65b8ccef5e273.png,2,1990,Turkey
Team Heretics,#Y1AR,https://owcdn.net/img/637b755224c12.png,3,1975,Europe
MOUZ,#V12K,https://owcdn.net/img/61f8e777f0e8f.png,4,1937,Europe
BBL PCIFIC,#Y1H3,https://owcdn.net/img/6712e0d973b7b.png,5,1925,Turkey
Enterprise Esports,#B1NQ,https://owcdn.net/img/68643d0b1c72b.png,6,1924,Poland
Team Liquid,#Y1M3,https://owcdn.net/img/640c381f0603f.png,7,1871,Europe
Eintracht Frankfurt,#B1EZ,https://owcdn.net/img/659d1013d5cf5.png,8,1831,Germany
KOI Fénix,#V1N3,https://owcdn.net/img/67667c7a563be.png,9,1797,Europe
Karmine Corp,#T1LN,https://owcdn.net/img/627403a0d9e48.png,10,1791,Europe
Natus Vincere,#Y1NG,https://owcdn.net/img/62a4109ddbd7f.png,11,1784,Europe
ULF Esports,#V1MM,https://owcdn.net/img/67d59bfc9eb2a.png,12,1760,Turkey
CGN Esports,#WE6,https://owcdn.net/img/60defafec983c.png,13,1741,Germany
GIANTX,#A1M3,https://owcdn.net/img/657b2f3fcd199.png,14,1739,Europe
Team Liquid Academy,#Y1NR,https://owcdn.net/img/640c381f0603f.png,15,1732,Europe
Eternal Fire,#X1KT,https://owcdn.net/img/6628980dcdaea.png,16,1714,Turkey
FUT Esports,#Z5N,https://owcdn.net/img/632be9976b8fe.png,17,1700,Turkey
BOARS,#Q1TO,https://owcdn.net/img/6862a4521f1a9.png,18,1691,Ukraine
FOKUS,#Q1LE,https://owcdn.net/img/627934cd0b505.png,19,1688,Germany
Formulation Gaming,#Z1T0,https://owcdn.net/img/6583ce375398a.png,20,1672,Europe
Team Vitality,#B1CQ,https://owcdn.net/img/6466d79e1ed40.png,21,1671,Europe
Joblife,#M1U7,https://owcdn.net/img/63a944e6cbe49.png,22,1668,Europe
Otakar Esports,#A1PK,https://owcdn.net/img/680a8dffe8362.png,23,1663,Spain
DNSTY,#B1TZ,https://owcdn.net/img/677c92a911f07.png,24,1660,Italy
Elite Klan,#M1NF,https://owcdn.net/img/66e945b71ee16.png,25,1651,Finland
Galatasaray Esports,#ZGE,https://owcdn.net/img/61e88bf9166d3.png,26,1646,Turkey
HGE Esport,#Y1N3,https://owcdn.net/img/6648843ae61fc.png,27,1644,Italy
Mandatory,#B1N3,https://owcdn.net/img/63a531dea92d2.png,28,1644,France
5STARS Esport,#B1MU,https://owcdn.net/img/680fd590415a6.png,29,1637,Norway
Pixel Lumina,#M1NH,https://owcdn.net/img/6783b1e6d26f8.png,30,1625,Poland
UCAM Esports Club,#W11S,https://owcdn.net/img/5f7f77ef1e2f0.png,31,1624,Europe
Metizport,#V1NQ,https://owcdn.net/img/6540ffde4d3cb.png,32,1623,Europe
Suzaku Esports,#B1T0,https://owcdn.net/img/6799c9aec1ec4.png,33,1622,Spain
KCORP Blue Stars,#M1N3,https://owcdn.net/img/627403a0d9e48.png,34,1618,France
Ramboot Club,#B1K7,https://owcdn.net/img/64eb6f1b87567.png,35,1617,Spain
FOCU5 esports,#Y1R7,https://owcdn.net/img/6808e1d733cc5.png,36,1614,International
N3,#T1QN,https://www.vlr.gg/img/vlr/tmp/vlr.png,37,1614,Kyrgyzstan
Team Valiant,#A1N2,https://owcdn.net/img/63a53368d2675.png,38,1612,France
Papara SuperMassive,#W1Q1,https://owcdn.net/img/651ef7628e347.png,39,1611,Turkey
NGU eSports,#Z1SS,https://owcdn.net/img/6828de03e54bb.png,40,1609,Spain
děti ulice,#V1U4,https://www.vlr.gg/img/vlr/tmp/vlr.png,41,1605,Europe
godiwnl,#M1GI,https://www.vlr.gg/img/vlr/tmp/vlr.png,42,1602,Norway
Arise,#Y1U3,https://owcdn.net/img/6825e0641b486.png,43,1601,Italy
NFM,#W1UD,https://www.vlr.gg/img/vlr/tmp/vlr.png,44,1600,France
Team Fanta,#X1OT,https://www.vlr.gg/img/vlr/tmp/vlr.png,45,1599,International
Irregulars,#Z1D5,https://owcdn.net/img/65d9702a74e40.png,46,1597,Germany
HL Tauri Esports,#Z1KC,https://owcdn.net/img/680a99cfb247c.png,47,1594,Finland
ALTERNATE aTTaX Ruby,#W15X,https://owcdn.net/img/62a1d1c3e765e.png,48,1593,Germany
REIGN,#Q1KC,https://owcdn.net/img/6808e29f13d3d.png,49,1591,Finland
whybye,#A1VD,https://www.vlr.gg/img/vlr/tmp/vlr.png,50,1591,Russia
Kombuciao,#Z1UE,https://www.vlr.gg/img/vlr/tmp/vlr.png,51,1591,France
NORIC,#A1OQ,https://owcdn.net/img/66e4ebc33c15f.png,52,1589,Germany
Espergærde eSport,#X1OD,https://owcdn.net/img/6429c7b98e3ba.png,53,1589,Denmark
FULL BOX 200,#B1TO,https://www.vlr.gg/img/vlr/tmp/vlr.png,54,1589,Poland
LEO,#Y1OE,https://owcdn.net/img/6793061485d64.png,55,1588,Sweden
